School/Who has it,serial #,mac address,date of purchase,PO #,account number,notes
Jason Tozier,SDMPGCCT3DFHW,,2011-09-16,2012/35253,0300-1100-1000-56100-950-009,
John McDonald,SDMPGCRDGDFHW,,2011-09-16,2012/35253,0300-1100-1000-56100-950-009,
Laurie Rule,SDMPGC018DFHW,,2011-09-16,2012/35253,0300-1100-1000-56100-950-009,
Nickerson,SDMPGCCLQDFHW,,2011-09-16,2012/35253,0300-1100-1000-56100-950-009,
Nickerson,SDMPGCND6DFHW,,2011-09-16,2012/35253,0300-1100-1000-56100-950-009,
Nickerson,SDMPGCU0JDFHW,,2011-09-16,2012/35253,0300-1100-1000-56100-950-009,
Nickerson,SDMPGC7YCDFHW,,2011-09-16,2012/35253,0300-1100-1000-56100-950-009,
Nickerson,SDMPGCJGSDFHW,,2011-09-16,2012/35253,0300-1100-1000-56100-950-009,
Nickerson,SDMPGC4D4DFHW,,2011-09-16,2012/35253,0300-1100-1000-56100-950-009,
SES,SDMPGCXU0DFHW,,2011-09-16,2012/35253,0300-1100-1000-56100-950-009,
SES,SDMPGCTZDDFHW,,2011-09-16,2012/35253,0300-1100-1000-56100-950-009,
SES,SDMPGCWA1DFHW,,2011-09-16,2012/35253,0300-1100-1000-56100-950-009,
SES,SDMPGCCYQDFHW,,2011-09-16,2012/35253,0300-1100-1000-56100-950-009,
SES,SDMPGCU07DFHW,,2011-09-16,2012/35253,0300-1100-1000-56100-950-009,
SES,SDMPGCTA0DFHW,,2011-09-16,2012/35253,0300-1100-1000-56100-950-009,
SES,SDMPGCXUKDFHW,,2011-09-16,2012/35253,0300-1100-1000-56100-950-009,
SES,SDMPGC0DADFHW,,2011-09-16,2012/35253,0300-1100-1000-56100-950-009,
SES,SDMPGCVX2DFHW,,2011-09-16,2012/35253,0300-1100-1000-56100-950-009,
SES,SDMPGCUFXDFHW,,2011-09-16,2012/35253,0300-1100-1000-56100-950-009,
SES,SDMPGCXV0DFHW,,2011-09-16,2012/35253,0300-1100-1000-56100-950-009,
SES,SDMPGCBX7DFHW,,2011-09-16,2012/35253,0300-1100-1000-56100-950-009,
Tracy Hayslip,SDMPGCVXQDFHW,,2011-09-16,2012/35253,0300-1100-1000-56100-950-009,
Weymouth,SDMPGC81NDFHW,e0:b9:ba:0a:85:67,2011-09-16,2012/35253,0300-1100-1000-56100-950-009,
Weymouth,SDMPGCTVWDFHW,e0:b9:ba:19:49:84,2011-09-16,2012/35253,0300-1100-1000-56100-950-009,
Weymouth,SDMPGCBJ3DFHW,e0:b9:ba:0a:87:95,2011-09-16,2012/35253,0300-1100-1000-56100-950-009,
Weymouth,SDMPGCWW4DFHW,e0:b9:ba:19:47:95,2011-09-16,2012/35253,0300-1100-1000-56100-950-009,
Weymouth,SDMPGCJ27DFHW,e0:b9:ba:18:b7:d4,2011-09-16,2012/35253,0300-1100-1000-56100-950-009,
Weymouth,SDN6GCM6BDFHW,e0:b9:ba:19:49:36,2011-09-16,2012/35253,0300-1100-1000-56100-950-009,
